d,p_los,p_ref_perp,p_tot_perp,p_ref_par,p_tot_par
2.226762182098578347e+00,-5.892865750926819857e+01,-6.613294635861751658e+01,-5.594257052432328692e+01,-6.630526155021922818e+01,-6.290975337502683118e+01
2.239623869836796288e+00,-5.893188758029610597e+01,-6.613380248310187426e+01,-5.597824130791362052e+01,-6.630808018682118643e+01,-6.275540008253126700e+01
2.252559846159940982e+00,-5.893515263015373762e+01,-6.613466835197192495e+01,-5.601753950720065234e+01,-6.631093053798888093e+01,-6.259169911527958163e+01
2.265570540155854573e+00,-5.893845301091527489e+01,-6.613554407409849034e+01,-5.606059182970437860e+01,-6.631381295001398257e+01,-6.241975238873747855e+01
2.278656383390774476e+00,-5.894178907761806130e+01,-6.613642975952127756e+01,-5.610753028115895091e+01,-6.631672777273402630e+01,-6.224065536836803858e+01
2.291817809923646809e+00,-5.894516118827478834e+01,-6.613732551946038996e+01,-5.615849243622353271e+01,-6.631967535956347604e+01,-6.205547939547226122e+01
2.305055256320524659e+00,-5.894856970388555339e+01,-6.613823146632780947e+01,-5.621362171995671986e+01,-6.632265606752501697e+01,-6.186525748728661966e+01
2.318369161669048939e+00,-5.895201498844962629e+01,-6.613914771373900692e+01,-5.627306769912603812e+01,-6.632567025728093313e+01,-6.167097354848664281e+01
2.331759967593011407e+00,-5.895549740897693169e+01,-6.614007437652466592e+01,-5.633698638194167785e+01,-6.632871829316469814e+01,-6.147355475635232835e+01
2.345228118267006945e+00,-5.895901733549926149e+01,-6.614101157074242110e+01,-5.640554052415770059e+01,-6.633180054321263697e+01,-6.127386676761548756e+01
2.358774060431163999e+00,-5.896257514108123132e+01,-6.614195941368878096e+01,-5.647889993866172631e+01,-6.633491737919590037e+01,-6.107271133429075860e+01
2.372398243405963392e+00,-5.896617120183093164e+01,-6.614291802391102237e+01,-5.655724180461394468e+01,-6.633806917665236824e+01,-6.087082589818741241e+01
2.386101119107142843e+00,-5.896980589691020214e+01,-6.614388752121924142e+01,-5.664075097081779120e+01,-6.634125631491883723e+01,-6.066888474791524288e+01
2.399883142060688535e+00,-5.897347960854478544e+01,-6.614486802669847521e+01,-5.672962024626042421e+01,-6.634447917716333620e+01,-6.046750135719558727e+01
2.413744769417907055e+00,-5.897719272203388385e+01,-6.614585966272096584e+01,-5.682405066849951680e+01,-6.634773815041755540e+01,-6.026723157023685218e+01
2.427686460970595927e+00,-5.898094562575965938e+01,-6.614686255295831074e+01,-5.692425173768526037e+01,-6.635103362560938933e+01,-6.006857735169656820e+01
2.441708679166288753e+00,-5.898473871119621492e+01,-6.614787682239398237e+01,-5.703044160030508181e+01,-6.635436599759565013e+01,-5.987199087033887679e+01
2.455811889123598490e+00,-5.898857237291828426e+01,-6.614890259733569167e+01,-5.714284716199246361e+01,-6.635773566519490885e+01,-5.967787873363938900e+01
2.469996558647644669e+00,-5.899244700860955959e+01,-6.614994000542796471e+01,-5.726170410265147126e+01,-6.636114303122045044e+01,-5.948660623343354104e+01
2.484263158245568093e+00,-5.899636301907067093e+01,-6.615098917566477610e+01,-5.738725675935513237e+01,-6.636458850251335662e+01,-5.929850149939668569e+01
2.498612161142142352e+00,-5.900032080822675340e+01,-6.615205023840219667e+01,-5.751975783245374885e+01,-6.636807248997571662e+01,-5.911385948766021414e+01
2.513044043295465713e+00,-5.900432078313458817e+01,-6.615312332537124007e+01,-5.765946785749979142e+01,-6.637159540860389484e+01,-5.893294575647678357e+01
2.527559283412752933e+00,-5.900836335398950183e+01,-6.615420856969072361e+01,-5.780665436909736599e+01,-6.637515767752203999e+01,-5.875600000026561531e+01
2.542158362966211449e+00,-5.901244893413162629e+01,-6.615530610588018590e+01,-5.796159066164133122e+01,-6.637875972001560854e+01,-5.858323932822572289e+01
2.556841766209011713e+00,-5.901657794005189572e+01,-6.615641606987294665e+01,-5.812455402476797417e+01,-6.638240196356498757e+01,-5.841486128481882645e+01
2.571609980191351674e+00,-5.902075079139762437e+01,-6.615753859902920908e+01,-5.829582329656631856e+01,-6.638608483987927400e+01,-5.825104661744763490e+01
2.586463494776611416e+00,-5.902496791097749451e+01,-6.615867383214924757e+01,-5.847567553310489075e+01,-6.638980878493012483e+01,-5.809196180224145678e+01
2.601402802657601931e+00,-5.902922972476624608e+01,-6.615982190948670905e+01,-5.866438153606903683e+01,-6.639357423898569266e+01,-5.793776134253408827e+01
