step,estimated_conductivity_s_per_m,loss_nae
1.520000000000000000e+02,6.238922476768493652e-01,9.330435568699613214e-05
1.530000000000000000e+02,6.267520785331726074e-01,3.035665940842591226e-05
1.540000000000000000e+02,6.271899938583374023e-01,4.938735946780070662e-05
1.550000000000000000e+02,6.254481077194213867e-01,2.604200744826812297e-05
1.560000000000000000e+02,6.260042786598205566e-01,2.003231429625884630e-06
1.570000000000000000e+02,6.286300420761108398e-01,1.117957217502407730e-04
1.580000000000000000e+02,6.288540363311767578e-01,1.215807351400144398e-04
1.590000000000000000e+02,6.269193291664123535e-01,3.759911123779602349e-05
1.600000000000000000e+02,6.230759620666503906e-01,1.285149919567629695e-04
1.610000000000000000e+02,6.217153668403625488e-01,1.872250868473201990e-04
1.620000000000000000e+02,6.225622892379760742e-01,1.507046399638056755e-04
1.630000000000000000e+02,6.254024505615234375e-01,2.804523865052033216e-05
1.640000000000000000e+02,6.300708651542663574e-01,1.744352193782106042e-04
1.650000000000000000e+02,6.321527957916259766e-01,2.650429087225347757e-04
1.660000000000000000e+02,6.318806409835815430e-01,2.531776262912899256e-04
1.670000000000000000e+02,6.294997930526733398e-01,1.496259792475029826e-04
1.680000000000000000e+02,6.252604126930236816e-01,3.420902794459834695e-05
1.690000000000000000e+02,6.235418319702148438e-01,1.084056348190642893e-04
1.700000000000000000e+02,6.240599751472473145e-01,8.606190385762602091e-05
1.710000000000000000e+02,6.265929937362670898e-01,2.349944406887516379e-05
1.720000000000000000e+02,6.267928481101989746e-01,3.212874798919074237e-05
1.730000000000000000e+02,6.248946189880371094e-01,5.000373857910744846e-05
1.740000000000000000e+02,6.252526640892028809e-01,3.451721568126231432e-05
1.750000000000000000e+02,6.276416182518005371e-01,6.895738624734804034e-05
1.760000000000000000e+02,6.277123093605041504e-01,7.203928544186055660e-05
1.770000000000000000e+02,6.257005929946899414e-01,1.517832970421295613e-05
1.780000000000000000e+02,6.259539723396301270e-01,4.160557637078454718e-06
1.790000000000000000e+02,6.282445192337036133e-01,9.507644426776096225e-05
1.800000000000000000e+02,6.282312273979187012e-01,9.453711390960961580e-05
1.810000000000000000e+02,6.261492371559143066e-01,4.237605025991797447e-06
1.820000000000000000e+02,6.222383975982666016e-01,1.646502059884369373e-04
1.830000000000000000e+02,6.207526922225952148e-01,2.285995142301544547e-04
1.840000000000000000e+02,6.214231252670288086e-01,1.997838116949424148e-04
1.850000000000000000e+02,6.240394115447998047e-01,8.698646706761792302e-05
1.860000000000000000e+02,6.284385919570922852e-01,1.035516543197445571e-04
1.870000000000000000e+02,6.303468942642211914e-01,1.864546065917238593e-04
1.880000000000000000e+02,6.299885511398315430e-01,1.708140043774619699e-04
1.890000000000000000e+02,6.275994777679443359e-01,6.710825255140662193e-05
1.900000000000000000e+02,6.234195232391357422e-01,1.137219005613587797e-04
1.910000000000000000e+02,6.216871142387390137e-01,1.883807999547570944e-04
1.920000000000000000e+02,6.221278309822082520e-01,1.694271486485376954e-04
1.930000000000000000e+02,6.245265603065490723e-01,6.587549432879313827e-05
1.940000000000000000e+02,6.287165880203247070e-01,1.155710415332578123e-04
1.950000000000000000e+02,6.304488182067871094e-01,1.908463163999840617e-04
1.960000000000000000e+02,6.299471259117126465e-01,1.690419157966971397e-04
1.970000000000000000e+02,6.274455189704895020e-01,6.040513108018785715e-05
1.980000000000000000e+02,6.231813430786132812e-01,1.239692064700648189e-04
1.990000000000000000e+02,6.213570833206176758e-01,2.026345609920099378e-04
2.000000000000000000e+02,6.216979622840881348e-01,1.879185147117823362e-04
