step,power_db,theta_deg,phi_deg
1.340000000000000000e+02,-9.524008964206772987e+01,9.063283538818359375e+01,-2.860029637813568115e-01
1.350000000000000000e+02,-9.523883252875523908e+01,9.063999938964843750e+01,-2.892417907714843750e-01
1.360000000000000000e+02,-9.523757054520471854e+01,9.064720153808593750e+01,-2.924941480159759521e-01
1.370000000000000000e+02,-9.523630409826553489e+01,9.065442657470703125e+01,-2.957599461078643799e-01
1.380000000000000000e+02,-9.523503238718568298e+01,9.066168212890625000e+01,-2.990392148494720459e-01
1.390000000000000000e+02,-9.523375541669648214e+01,9.066897583007812500e+01,-3.023318946361541748e-01
1.400000000000000000e+02,-9.523247399583414108e+01,9.067629241943359375e+01,-3.056379854679107666e-01
1.410000000000000000e+02,-9.523118973674922927e+01,9.068363952636718750e+01,-3.089574277400970459e-01
1.420000000000000000e+02,-9.522989862300958919e+01,9.069101715087890625e+01,-3.122902512550354004e-01
1.430000000000000000e+02,-9.522860387512785962e+01,9.069841766357421875e+01,-3.156363666057586670e-01
1.440000000000000000e+02,-9.522730549646792042e+01,9.070585632324218750e+01,-3.189958035945892334e-01
1.450000000000000000e+02,-9.522599987649155651e+01,9.071332550048828125e+01,-3.223685324192047119e-01
1.460000000000000000e+02,-9.522469183893441880e+01,9.072081756591796875e+01,-3.257545232772827148e-01
1.470000000000000000e+02,-9.522337937958270970e+01,9.072833251953125000e+01,-3.291537761688232422e-01
1.480000000000000000e+02,-9.522206250256328985e+01,9.073588562011718750e+01,-3.325662314891815186e-01
1.490000000000000000e+02,-9.522074000883597478e+01,9.074346923828125000e+01,-3.359919190406799316e-01
1.500000000000000000e+02,-9.521941350739899690e+01,9.075107574462890625e+01,-3.394308090209960938e-01
1.510000000000000000e+02,-9.521808260123270884e+01,9.075872039794921875e+01,-3.428828120231628418e-01
1.520000000000000000e+02,-9.521674609243773091e+01,9.076639556884765625e+01,-3.463479876518249512e-01
1.530000000000000000e+02,-9.521540598914512543e+01,9.077409362792968750e+01,-3.498262763023376465e-01
1.540000000000000000e+02,-9.521406269525147081e+01,9.078181457519531250e+01,-3.533177077770233154e-01
1.550000000000000000e+02,-9.521271301129385733e+01,9.078957366943359375e+01,-3.568222224712371826e-01
