phi,Ed_dB,Etot_dB
115.0978,-11.6431,-3.2828
115.2579,-11.4868,-1.9537
115.4180,-11.3281,-0.8103
115.5781,-11.1670,0.1875
115.7381,-11.0034,1.0674
115.8982,-10.8372,1.8490
116.0583,-10.6683,2.5467
116.2184,-10.4966,3.1715
116.3785,-10.3220,3.7317
116.5385,-10.1444,4.2338
116.6986,-9.9638,4.6830
116.8587,-9.7798,5.0832
117.0188,-9.5925,5.4378
117.1789,-9.4017,5.7492
117.3389,-9.2073,6.0196
117.4990,-9.0090,6.2503
117.6591,-8.8068,6.4426
117.8192,-8.6005,6.5972
117.9793,-8.3898,6.7146
118.1393,-8.1747,6.7949
118.2994,-7.9547,6.8380
118.4595,-7.7298,6.8435
118.6196,-7.4997,6.8106
118.7796,-7.2642,6.7382
118.9397,-7.0228,6.6250
119.0998,-6.7754,6.4691
119.2599,-6.5216,6.2683
119.4200,-6.2611,6.0199
119.5800,-5.9933,5.7205
119.7401,-5.7180,5.3662
119.9002,-5.4346,4.9520
120.0603,-5.1427,4.4723
120.2204,-4.8416,3.9205
120.3804,-4.5308,3.2888
120.5405,-4.2095,2.5689
120.7006,-3.8770,1.7532
120.8607,-3.5325,0.8373
121.0208,-3.1749,-0.1727
121.1808,-2.8033,-1.2445
121.3409,-2.4164,-2.2883
121.5010,-2.0129,-3.1172
121.6611,-1.5911,-3.4582
121.8211,-1.1494,-3.1192
121.9812,-0.6855,-2.1799
122.1413,-0.1973,-0.9048
122.3014,0.3183,0.4748
122.4615,0.8645,1.8332
122.6215,1.4453,3.1210
122.7816,2.0656,4.3272
122.9417,2.7312,5.4579
123.1018,3.4495,6.5260
123.2619,4.2298,7.5479
123.4219,5.0841,8.5420
123.5820,6.0283,9.5297
123.7421,7.0839,10.5366
123.9022,8.2813,11.5961
124.0623,9.6654,12.7549
124.2223,11.3063,14.0840
124.3824,13.3234,15.7022
124.5425,15.9445,17.8367
124.7026,19.7000,21.0158
124.8627,26.4263,27.0741
125.0227,42.0661,42.0008
125.1828,23.9733,23.4127
125.3429,18.5254,17.4299
125.5030,15.2128,13.5918
125.6630,12.8280,10.7659
125.8231,10.9648,8.6419
125.9832,9.4364,7.1216
126.1433,8.1415,6.1418
126.3034,7.0185,5.6060
126.4634,6.0276,5.3879
126.6235,5.1412,5.3663
126.7836,4.3397,5.4482
126.9437,3.6085,5.5718
127.1038,2.9364,5.6995
127.2638,2.3147,5.8093
127.4239,1.7366,5.8890
127.5840,1.1965,5.9318
127.7441,0.6897,5.9338
127.9042,0.2126,5.8929
128.0642,-0.2380,5.8077
128.2243,-0.6650,5.6770
128.3844,-1.0704,5.5000
128.5445,-1.4564,5.2753
128.7045,-1.8247,5.0014
128.8646,-2.1767,4.6764
129.0247,-2.5138,4.2981
129.1848,-2.8371,3.8634
129.3449,-3.1477,3.3691
129.5049,-3.4465,2.8112
129.6650,-3.7343,2.1852
129.8251,-4.0118,1.4863
129.9852,-4.2798,0.7100
130.1453,-4.5388,-0.1470
130.3053,-4.7894,-1.0841
130.4654,-5.0320,-2.0921
130.6255,-5.2672,-3.1437
130.7856,-5.4954,-4.1782
130.9457,-5.7168,-5.0840
131.1057,-5.9320,-5.7011
131.2658,-6.1412,-5.8820
131.4259,-6.3447,-5.5939
131.5860,-6.5428,-4.9469
131.7460,-6.7357,-4.1076
131.9061,-6.9237,-3.2111
132.0662,-7.1071,-2.3382
132.2263,-7.2860,-1.5284
