step,rx_x_m,rx_y_m,rx_z_m,loss,power_db,ground_truth_power_db
1.070000000000000000e+02,9.322153091430664062e+00,-8.761236667633056641e-01,1.500000000000000000e+00,3.502880036830902100e-01,-9.537273429402702618e+01,-9.545272361794536664e+01
1.080000000000000000e+02,9.334990501403808594e+00,-8.540520668029785156e-01,1.500000000000000000e+00,3.351811468601226807e-01,-9.537417120673228510e+01,-9.545272361794536664e+01
1.090000000000000000e+02,9.347852706909179688e+00,-8.327031135559082031e-01,1.500000000000000000e+00,3.206675350666046143e-01,-9.537562106360218195e+01,-9.545272361794536664e+01
1.100000000000000000e+02,9.360729217529296875e+00,-8.120539188385009766e-01,1.500000000000000000e+00,3.067270219326019287e-01,-9.537707431497084087e+01,-9.545272361794536664e+01
1.110000000000000000e+02,9.373607635498046875e+00,-7.920806407928466797e-01,1.500000000000000000e+00,2.933323085308074951e-01,-9.537853345947823414e+01,-9.545272361794536664e+01
1.120000000000000000e+02,9.386475563049316406e+00,-7.727587819099426270e-01,1.500000000000000000e+00,2.804529964923858643e-01,-9.537999891894182269e+01,-9.545272361794536664e+01
1.130000000000000000e+02,9.399319648742675781e+00,-7.540633082389831543e-01,1.500000000000000000e+00,2.680748105049133301e-01,-9.538146445688911967e+01,-9.545272361794536664e+01
1.140000000000000000e+02,9.412127494812011719e+00,-7.359688282012939453e-01,1.500000000000000000e+00,2.561656534671783447e-01,-9.538293048955294751e+01,-9.545272361794536664e+01
1.150000000000000000e+02,9.424885749816894531e+00,-7.184497714042663574e-01,1.500000000000000000e+00,2.447188943624496460e-01,-9.538439701726737496e+01,-9.545272361794536664e+01
1.160000000000000000e+02,9.437581062316894531e+00,-7.014806270599365234e-01,1.500000000000000000e+00,2.337192744016647339e-01,-9.538585529174169153e+01,-9.545272361794536664e+01
1.170000000000000000e+02,9.450201034545898438e+00,-6.850359439849853516e-01,1.500000000000000000e+00,2.231428176164627075e-01,-9.538731738996722243e+01,-9.545272361794536664e+01
1.180000000000000000e+02,9.462733268737792969e+00,-6.690906882286071777e-01,1.500000000000000000e+00,2.129794955253601074e-01,-9.538876997544659275e+01,-9.545272361794536664e+01
1.190000000000000000e+02,9.475165367126464844e+00,-6.536201834678649902e-01,1.500000000000000000e+00,2.032185196876525879e-01,-9.539021303846722333e+01,-9.545272361794536664e+01
1.200000000000000000e+02,9.487484931945800781e+00,-6.386003494262695312e-01,1.500000000000000000e+00,1.938413828611373901e-01,-9.539164698652942320e+01,-9.545272361794536664e+01
1.210000000000000000e+02,9.499681472778320312e+00,-6.240077018737792969e-01,1.500000000000000000e+00,1.848461180925369263e-01,-9.539306972397609741e+01,-9.545272361794536664e+01
1.220000000000000000e+02,9.511743545532226562e+00,-6.098194718360900879e-01,1.500000000000000000e+00,1.762148141860961914e-01,-9.539448207448954520e+01,-9.545272361794536664e+01
1.230000000000000000e+02,9.523660659790039062e+00,-5.960137844085693359e-01,1.500000000000000000e+00,1.679362654685974121e-01,-9.539587818189096424e+01,-9.545272361794536664e+01
1.240000000000000000e+02,9.535423278808593750e+00,-5.825695395469665527e-01,1.500000000000000000e+00,1.599990725517272949e-01,-9.539726095423689856e+01,-9.545272361794536664e+01
1.250000000000000000e+02,9.547022819519042969e+00,-5.694666504859924316e-01,1.500000000000000000e+00,1.523960530757904053e-01,-9.539862285774530903e+01,-9.545272361794536664e+01
1.260000000000000000e+02,9.558450698852539062e+00,-5.566859245300292969e-01,1.500000000000000000e+00,1.451155096292495728e-01,-9.539996805220582132e+01,-9.545272361794536664e+01
1.270000000000000000e+02,9.569699287414550781e+00,-5.442092418670654297e-01,1.500000000000000000e+00,1.381462514400482178e-01,-9.540129903046413062e+01,-9.545272361794536664e+01
