x,magnitude,phase
8.588829e-02,4.118341e-01,3.328576e+01
8.668380e-02,4.132996e-01,3.323896e+01
8.748668e-02,4.147684e-01,3.319201e+01
8.829700e-02,4.162404e-01,3.314490e+01
8.911482e-02,4.177157e-01,3.309765e+01
8.994022e-02,4.191943e-01,3.305023e+01
9.077327e-02,4.206761e-01,3.300267e+01
9.161402e-02,4.221611e-01,3.295495e+01
9.246257e-02,4.236493e-01,3.290708e+01
9.331898e-02,4.251407e-01,3.285905e+01
9.418332e-02,4.266353e-01,3.281087e+01
9.505566e-02,4.281330e-01,3.276254e+01
9.593608e-02,4.296339e-01,3.271405e+01
9.682466e-02,4.311380e-01,3.266540e+01
9.772147e-02,4.326452e-01,3.261660e+01
9.862658e-02,4.341556e-01,3.256765e+01
9.954008e-02,4.356690e-01,3.251854e+01
1.004620e-01,4.371855e-01,3.246927e+01
1.013925e-01,4.387052e-01,3.241985e+01
1.023317e-01,4.402279e-01,3.237028e+01
1.032795e-01,4.417537e-01,3.232054e+01
1.042361e-01,4.432825e-01,3.227066e+01
1.052015e-01,4.448143e-01,3.222061e+01
1.061759e-01,4.463492e-01,3.217041e+01
1.071593e-01,4.478871e-01,3.212006e+01
1.081519e-01,4.494279e-01,3.206955e+01
1.091536e-01,4.509717e-01,3.201888e+01
1.101646e-01,4.525185e-01,3.196805e+01
1.111850e-01,4.540683e-01,3.191707e+01
1.122148e-01,4.556209e-01,3.186594e+01
1.132541e-01,4.571765e-01,3.181464e+01
1.143031e-01,4.587350e-01,3.176319e+01
1.153618e-01,4.602964e-01,3.171158e+01
1.164303e-01,4.618606e-01,3.165982e+01
1.175087e-01,4.634277e-01,3.160789e+01
1.185971e-01,4.649976e-01,3.155582e+01
1.196956e-01,4.665703e-01,3.150358e+01
1.208042e-01,4.681458e-01,3.145119e+01
1.219231e-01,4.697241e-01,3.139864e+01
1.230524e-01,4.713052e-01,3.134593e+01
1.241921e-01,4.728890e-01,3.129306e+01
1.253424e-01,4.744756e-01,3.124004e+01
1.265034e-01,4.760648e-01,3.118686e+01
1.276751e-01,4.776568e-01,3.113352e+01
1.288576e-01,4.792514e-01,3.108003e+01
1.300511e-01,4.808487e-01,3.102638e+01
1.312557e-01,4.824486e-01,3.097257e+01
1.324714e-01,4.840511e-01,3.091860e+01
1.336984e-01,4.856562e-01,3.086448e+01
1.349367e-01,4.872639e-01,3.081020e+01
1.361865e-01,4.888742e-01,3.075576e+01
1.374479e-01,4.904870e-01,3.070116e+01
1.387210e-01,4.921023e-01,3.064641e+01
1.400058e-01,4.937201e-01,3.059150e+01
1.413026e-01,4.953404e-01,3.053643e+01
1.426114e-01,4.969631e-01,3.048121e+01
1.439323e-01,4.985882e-01,3.042582e+01
1.452654e-01,5.002158e-01,3.037028e+01
1.466109e-01,5.018457e-01,3.031459e+01
1.479688e-01,5.034781e-01,3.025873e+01
1.493393e-01,5.051127e-01,3.020272e+01
1.507225e-01,5.067497e-01,3.014655e+01
1.521186e-01,5.083890e-01,3.009023e+01
